Index,Name,Phone,Email,Website,Practitioner, Location
1,"MyClinic QV","03 9663 4517","","myclinicgroup.com.au/clinics/myclinic-bourke-qv/","Harold Kwiatek","QV Retail Centre, Shop 51, CNR Lonsdale and Swanston Street MELBOURNE VIC 3000"
2,"Medical One - QV","03 8663 7000","infoqv@medicalone.com.au","www.medicalone.com.au/","Steven Zebic","23 QV Terrace, Level 3, 292 Swanston Street MELBOURNE VIC 3000"
3,"Medical One - QV","03 8663 7000","infoqv@medicalone.com.au","www.medicalone.com.au/","Jun Feng","23 QV Terrace, Level 3, 292 Swanston Street MELBOURNE VIC 3000"
4,"Medical One - QV","03 8663 7000","infoqv@medicalone.com.au","www.medicalone.com.au/","Margaret Elder","23 QV Terrace, Level 3, 292 Swanston Street MELBOURNE VIC 3000"
5,"AIM Health Melbourne Student Medical Centre","03 9005 2118","","www.aimhealth.com.au/","Hany Sharobem","Level 1, 253 Lonsdale Street MELBOURNE VIC 3000"
6,"AIM Health Melbourne Student Medical Centre","03 9005 2118","","www.aimhealth.com.au/","Yonggang Shen","Level 1, 253 Lonsdale Street MELBOURNE VIC 3000"
7,"AIM Health Melbourne Student Medical Centre","03 9005 2118","","www.aimhealth.com.au/","Yuan Gao","Level 1, 253 Lonsdale Street MELBOURNE VIC 3000"
8,"La Trobe Street Medical","03 9650 0023","latrobest.medical@gmail.com","","Rhonda Hemphill","Level 1 Shop 152, 211 La Trobe Street MELBOURNE VIC 3000"
9,"Advanced Functional Medicine Melbourne","1800 112 236","admin@advancedfunctionalmedicine.com.au","advancedfunctionalmedicine.com.au/melbourne/","","Level 19, 180 Lonsdale Street MELBOURNE VIC 3000"
10,"Medical Hub @ RMIT","03 9999 2778","admin@medicalhubrmit.com.au","www.medicalhubrmit.com.au/","Choi Man Mabel Leung","RMIT University, Level 3 Building 8, 368-374 Swanston Street MELBOURNE VIC 3000"
11,"Dr Irene Wong - General Practitioner","03 9663 7222","","","Irene Wong","Level 2 Suite 28, 131 Lonsdale Street MELBOURNE VIC 3000"
12,"Atticus Health Hardware Lane","03 9670 4011","receptionhardwarelane@atticushealth.com.au","atticushealth.com.au/location/hardware-lane/","Floyd Gomes","Level 3, 393 LITTLE BOURKE STREET MELBOURNE VIC 3000"
13,"Atticus Health Hardware Lane","03 9670 4011","receptionhardwarelane@atticushealth.com.au","atticushealth.com.au/location/hardware-lane/","Meridee Flower","Level 3, 393 LITTLE BOURKE STREET MELBOURNE VIC 3000"
14,"Atticus Health Hardware Lane","03 9670 4011","receptionhardwarelane@atticushealth.com.au","atticushealth.com.au/location/hardware-lane/","Leon Piterman","Level 3, 393 LITTLE BOURKE STREET MELBOURNE VIC 3000"
15,"City Medical GP and Vaccination Clinic","03 9098 7480","info@citymedical.com.au","www.citymedical.com.au/","","Ground Level, 200 Queen Street MELBOURNE VIC 3000"
16,"Paramount Medical Clinic","03 9654 9818","info@paramountclinic.com.au","www.paramountclinic.com.au/","Andrius Balnionis","Suite 9-10, 108 Bourke Street MELBOURNE VIC 3000"
17,"Paramount Medical Clinic","03 9654 9818","info@paramountclinic.com.au","www.paramountclinic.com.au/","Susan Cox","Suite 9-10, 108 Bourke Street MELBOURNE VIC 3000"
18,"Healthcare on Collins","03 9650 4284","info@healthcareoncollins.com.au","healthcareoncollins.com.au/","Mark Hayes","Level 4, 250 Collins Street MELBOURNE VIC 3000"
19,"Healthcare on Collins","03 9650 4284","info@healthcareoncollins.com.au","healthcareoncollins.com.au/","Sarah Matenson","Level 4, 250 Collins Street MELBOURNE VIC 3000"
20,"Healthcare on Collins","03 9650 4284","info@healthcareoncollins.com.au","healthcareoncollins.com.au/","Benjamin Teoh","Level 4, 250 Collins Street MELBOURNE VIC 3000"
21,"Galleria Medical Centre","03 9670 9950","galleriamedical@iinet.net.au","","","Level 2 Suite 213, 343 Little Collins Street MELBOURNE VIC 3000"
22,"Sexual Health Victoria - Action Centre","1800 013 952","clinic@shvic.org.au","www.shvic.org.au/","Jane Karmouche","Level 1, 94 Elizabeth Street MELBOURNE VIC 3000"
23,"Sexual Health Victoria - Action Centre","1800 013 952","clinic@shvic.org.au","www.shvic.org.au/","Lise Mifsud","Level 1, 94 Elizabeth Street MELBOURNE VIC 3000"
24,"Melbourne City Medical Centre","03 9639 9600","melbournecitymedicalcentre@gmail.com","www.melbournecitymedical.com.au/","","68 Lonsdale Street MELBOURNE VIC 3000"
25,"The Town Medical Centre","03 9670 5777","reception@townmedicalcentre.com.au","www.townmedicalcentre.com.au/","Derrick Bui","Level 5, 179 Queen Street MELBOURNE VIC 3000"
26,"The Town Medical Centre","03 9670 5777","reception@townmedicalcentre.com.au","www.townmedicalcentre.com.au/","Shelley Gray","Level 5, 179 Queen Street MELBOURNE VIC 3000"
